Optimized Airfoil
1.000000  0.000000
0.996950  0.000954
0.987838  0.003577
0.970146  0.007871
0.948509  0.012158
0.921401  0.016821
0.884147  0.023264
0.846508  0.030908
0.804642  0.041321
0.752275  0.056916
0.703128  0.073031
0.643962  0.092218
0.590277  0.107547
0.535491  0.119769
0.472387  0.128714
0.417498  0.131969
0.363615  0.131408
0.304110  0.126928
0.254571  0.120290
0.201655  0.110113
0.159225  0.099269
0.120953  0.086967
0.082900  0.071697
0.055036  0.057836
0.032600  0.043957
0.013954  0.028388
0.003982  0.015062
0.000000  -0.000000
0.003050  -0.004049
0.012162  -0.007089
0.029854  -0.008539
0.051491  -0.008128
0.078599  -0.006768
0.115853  -0.004918
0.153492  -0.003490
0.195358  -0.002276
0.247725  -0.000925
0.296872  0.000400
0.356038  0.002124
0.409723  0.003759
0.464509  0.005453
0.527613  0.007382
0.582502  0.008913
0.636385  0.010054
0.695890  0.010573
0.745429  0.010245
0.798345  0.009199
0.840775  0.008068
0.879047  0.007014
0.917100  0.005935
0.944964  0.004895
0.967400  0.003587
0.986046  0.001872
0.996018  0.000598
1.000000  0.000000
